,Date,RTX
149,2015-10-02,0.02606010760520917
150,2015-10-05,0.020123759973021432
151,2015-10-06,0.00434077216986557
152,2015-10-07,-0.005212748513693276
153,2015-10-08,0.015830279878581585
154,2015-10-09,0.007394112122943954
155,2015-10-12,0.005161204003436485
156,2015-10-13,0.0011680845979090532
157,2015-10-14,-0.02227645794496779
158,2015-10-15,0.005069580065236883
159,2015-10-16,-0.01063828780171982
160,2015-10-19,-0.004864830981673387
161,2015-10-20,0.013675406026307402
162,2015-10-21,0.01797585938539016
163,2015-10-22,0.015260947294896089
164,2015-10-23,0.0015926695821321085
165,2015-10-26,-0.003875962932493045
166,2015-10-27,-0.009218413096276887
167,2015-10-28,-0.000503180670468123
168,2015-10-29,-0.001914533701499721
169,2015-10-30,-0.006260720896060497
170,2015-11-02,0.005768108650682043
