,Date,TSLA
150,2015-10-05,-0.010810198890443821
151,2015-10-06,0.006083333333333367
152,2015-10-07,-0.019735494231500644
153,2015-10-08,-0.01460355125616196
154,2015-10-09,-0.0010863395399823418
155,2015-10-12,-0.03323016727207502
156,2015-10-13,0.027991374155634637
157,2015-10-14,-0.017174967534666474
158,2015-10-15,0.022547752680953517
159,2015-10-16,0.01779945221487396
160,2015-10-19,0.007064017815982739
161,2015-10-20,-0.06450904761349574
162,2015-10-21,-0.008962616372532014
163,2015-10-22,0.000756333900548441
164,2015-10-23,-0.027488348837209246
165,2015-10-26,0.018355496774635726
166,2015-10-27,-0.0208992510914925
167,2015-10-28,0.007808385599158056
168,2015-10-29,-0.000566658822510425
169,2015-10-30,-0.016492394653403356
170,2015-11-02,0.0233103340991767
171,2015-11-03,-0.025719008650923626
