,Date,WFC
149,2015-10-02,0.019490831732116912
150,2015-10-05,0.01353705305621826
151,2015-10-06,-0.00287468378689159
152,2015-10-07,-0.005715431292991696
153,2015-10-08,0.005935305380049776
154,2015-10-09,-0.016597529234251226
155,2015-10-12,0.0011512087711283293
156,2015-10-13,-0.0030757208765860478
157,2015-10-14,-0.0038684912211123614
158,2015-10-15,0.013659080415544506
159,2015-10-16,-0.005079980994168177
160,2015-10-19,-0.0037906938510498672
161,2015-10-20,0.008741980401786028
162,2015-10-21,0.0015082578901158645
163,2015-10-22,0.012359531372302179
164,2015-10-23,0.007545086492454851
165,2015-10-26,-0.008582852760513366
166,2015-10-27,0.002593534642460228
167,2015-10-28,0.02230824032786731
168,2015-10-29,-0.0054161221414717785
169,2015-10-30,-0.01688761576175771
